Datset File Name:,e2000CommercialVesselLengthCB.csv
Dataset Title:,e2000CommercialVesselLengthCB
Dataset Author:,Camryn Blawas
Dataset Author Contact:,cblawas@nyelab.org
Data Owner:,NC DMF
Data Owner Contact:,"Meredith Whitten (meredith.Whitten@ncdenr.gov), Alan Bianchi (alan.bianchi@ncdenr.gov), Brandi Salmon (brandi.salmon@ncdenr.gov) at NC DMF"
Link to Publically Available Data (if applicable):,NA
Raw Data Citation,
Link to Code Creating Dataset:,
Variables Generated in Dataset:,"Length of vessels in NC of size class 0-18ft, 19-38ft, 39-50ft, >50ft"
Timeframe of Dataset:,2000-2023
Data Collection Period,2000-2023
Geographic Study Area:,North Carolina
Does dataset include information governed under IRB or HIPAA?,No
Comments:,
