Datset File Name:,,,,pNofDaysWindDirectionbyMonthCB.csv
Dataset Title:,,,,pNofDaysWindDirectionbyMonthCB
Dataset Author:,,,,Camryn Blawas
Dataset Author Contact:,,,,cblawas@nyelab.org
Data Owner:,,,,NOAA
Data Owner Contact:,,,,
Link to Publically Available Data (if applicable):,,,,
Raw Data Citation,,,,
Link to Code Creating Dataset:,,,,https://github.com/Nyelab/NC-Ecosystem-indicators/blob/main/scripts/Wind.Rmd
Variables Generated in Dataset:,,,,"Number of days in each cardinal direction per month, id is location"
Timeframe of Dataset:,,,,1995-2023
Data Collection Period,,,,
Geographic Study Area:,,,,"Beaufort, Duck, Wrightsville Beach, Oregon Inlet, Cape Hatteras"
Does dataset include information governed under IRB or HIPAA?,,,,
Comments:,,,,
