Datset File Name:,e1985MenhadenLandingsNCSD.csv
Dataset Title:,e1985MenhadenLandingsNCSD
Dataset Author:, Sally Dowd
Dataset Author Contact:,sdowd@nyelab.org
Data Owner:,NC Division of Marine Fisheries
Data Owner Contact:,Meredith.whitten@ncdenr.gov
Link to Publically Available Data (if applicable):,Got directly from Meredith
Raw Data Citation,Got directly from Meredith
Link to Code Creating Dataset:,
Variables Generated in Dataset:,"Year, fishery, weight"
Timeframe of Dataset:,1985-1993
Data Collection Period,Every Fiscal Year
Geographic Study Area:,All of NC
Does dataset include information governed under IRB or HIPAA?,Not sure
Comments:,Data from the both the bait and purse seine reduction fisheries (Menhaden processing plant closed in 2005)
