Datset File Name:,B1972InvertFinfishCommCatchLS.csv
Dataset Title:,North Carolina Landings Data
Dataset Author:,Lela Schlenker
Dataset Author Contact:,lelaschlenker@gmail.com
Data Owner:,North Carolina Division of Marine Fisheries
Data Owner Contact:,NA
Link to Publically Available Data (if applicable):,https://deq.nc.gov/about/divisions/marine-fisheries/science-and-statistics/fisheries-statistics#commercial-statistics
Raw Data Citation,"NCDMF. 2022. North Carolina Division of Marine Fisheries License and Statistics Section Annual Report. North Carolina Department of Environmental Quality, Division of Marine Fisheries, Morehead City, NC."
Link to Code Creating Dataset:,github/lelaschlenker
Variables Generated in Dataset:,Commercial landings of finfish and invertebrates in kilograms. Missing data was replaced with the mean for each species before summing.
Timeframe of Dataset:,1972-2021
Data Collection Period,Year round landings
Geographic Study Area:,State of North Carolina
Does dataset include informaton governed under IRB or HIPAA?,No
Comments:,None
