Datset File Name:,e2000CommercialVesselLengthLess38NCSD.csv
Dataset Title:,e2000CommercialVesselLengthLess38NCSD
Dataset Author:,Sally Dowd
Dataset Author Contact:,sdowd@nyelab.org
Data Owner:,NC DMF
Data Owner Contact:,"Meredith Whitten (meredith.Whitten@ncdenr.gov), Alan Bianchi (alan.bianchi@ncdenr.gov), Brandi Salmon (brandi.salmon@ncdenr.gov) at NC DMF"
Link to Publically Available Data (if applicable):,NA
Raw Data Citation,
Link to Code Creating Dataset:,
Variables Generated in Dataset:,Length of vessels in NC under 38 feet 
Timeframe of Dataset:,2000-2023
Data Collection Period,2000-2023
Geographic Study Area:,North Carolina
Does dataset include information governed under IRB or HIPAA?,No
Comments:,
