Datset File Name:,e1981RecreationalHarvestReleaseNCCB
Dataset Title:,e1981RecreationalHarvestReleaseNCCB (Recreational Total Harvest and Released for all species grouped by year)
Dataset Author:,Richard Mahoney
Dataset Author Contact:,rmhao448@gmail.com
Data Owner:,NOAA
Data Owner Contact:,NOAA
Link to Publically Available Data (if applicable):,Recreational Fisheries Statistics Queries | NOAA Fisheries
Raw Data Citation,Recreational Fisheries Statistics Queries | NOAA Fisheries
Link to Code Creating Dataset:,Just provided the csv file on NCGA NCC Fisheries and Habitat Study>Timeseries/indicator analysis>Data
Variables Generated in Dataset:,"Estimate Status, Year, Common Name, Total Harvest (A+B1), PSE Harvest, Released (B2), PSE Released"
Timeframe of Dataset:,1981-2022
Data Collection Period,Every year up to 2022
Geographic Study Area:,All of NC
Does dataset include information governed under IRB or HIPAA?,Unknown
Comments:,
