Year,Beaufort,Brunswick,Carteret,Currituck,Dare,Onslow,Washington,All
1749,NA,NA,NA,NA,NA,NA,NA,NA
1750,NA,NA,NA,NA,NA,NA,NA,NA
1751,NA,NA,NA,NA,NA,NA,NA,NA
1752,NA,NA,NA,NA,NA,NA,NA,NA
1753,NA,NA,NA,NA,NA,NA,NA,NA
1754,NA,NA,NA,NA,NA,NA,NA,NA
1755,NA,NA,NA,NA,NA,NA,NA,NA
1756,NA,NA,NA,NA,NA,NA,NA,NA
1757,NA,NA,NA,NA,NA,NA,NA,NA
1758,NA,NA,NA,NA,NA,NA,NA,NA
1759,NA,NA,NA,NA,NA,NA,NA,NA
1760,NA,NA,NA,NA,NA,NA,NA,NA
1761,NA,NA,NA,NA,NA,NA,NA,NA
1762,NA,NA,NA,NA,NA,NA,NA,NA
1763,NA,NA,NA,NA,NA,NA,NA,NA
1764,NA,NA,NA,NA,NA,NA,NA,NA
1765,NA,NA,NA,NA,NA,NA,NA,NA
1766,NA,NA,NA,NA,NA,NA,NA,NA
1767,NA,NA,NA,NA,NA,NA,NA,NA
1768,NA,NA,NA,NA,NA,NA,NA,NA
1769,NA,NA,NA,NA,NA,NA,NA,NA
1770,NA,NA,NA,3,NA,1,1,NA
1771,NA,NA,NA,NA,NA,NA,NA,NA
1772,NA,NA,NA,NA,NA,NA,NA,NA
1773,NA,NA,NA,NA,NA,NA,NA,NA
1774,NA,NA,NA,NA,NA,NA,NA,NA
1775,NA,NA,NA,NA,NA,NA,NA,NA
1776,NA,NA,NA,NA,NA,NA,NA,NA
1777,NA,NA,NA,NA,NA,NA,NA,NA
1778,NA,NA,NA,NA,NA,1,NA,NA
1779,NA,NA,NA,1,NA,NA,NA,NA
1780,NA,NA,NA,NA,NA,NA,NA,NA
1781,NA,NA,NA,NA,NA,NA,NA,NA
1782,NA,NA,NA,NA,NA,NA,NA,NA
1783,NA,NA,NA,NA,NA,NA,NA,NA
1784,NA,NA,NA,NA,NA,NA,NA,NA
1785,NA,NA,NA,NA,NA,NA,NA,NA
1786,NA,NA,1,NA,NA,NA,NA,NA
1787,NA,NA,NA,NA,NA,NA,NA,NA
1788,NA,NA,NA,1,NA,NA,NA,NA
1789,NA,NA,1,NA,NA,NA,NA,NA
1790,NA,NA,1,2,NA,NA,NA,NA
1791,NA,NA,NA,NA,NA,NA,NA,NA
1792,NA,NA,NA,NA,NA,NA,NA,NA
1793,NA,NA,NA,NA,NA,NA,NA,NA
1794,NA,NA,NA,NA,NA,NA,NA,NA
1795,NA,NA,NA,NA,NA,NA,NA,NA
1796,NA,NA,NA,NA,NA,NA,NA,NA
1797,NA,NA,NA,1,NA,NA,NA,NA
1798,NA,NA,NA,NA,NA,NA,NA,NA
1799,1,NA,NA,NA,NA,NA,NA,NA
1800,3,1,NA,NA,NA,NA,NA,NA
1801,NA,NA,NA,1,NA,NA,NA,NA
1802,NA,NA,NA,NA,NA,NA,NA,NA
1803,NA,NA,NA,NA,NA,NA,NA,NA
1804,NA,NA,NA,NA,NA,NA,NA,NA
1805,NA,NA,NA,NA,1,NA,NA,NA
1806,NA,NA,NA,NA,NA,NA,NA,NA
1807,NA,NA,NA,NA,NA,NA,NA,NA
1808,NA,NA,NA,NA,NA,NA,NA,NA
1809,NA,NA,NA,NA,NA,NA,NA,NA
1810,2,NA,NA,NA,NA,1,NA,NA
1811,NA,NA,NA,NA,NA,NA,NA,NA
1812,NA,NA,NA,1,NA,NA,NA,NA
1813,NA,NA,NA,NA,NA,1,NA,NA
1814,NA,NA,NA,NA,NA,NA,NA,NA
1815,NA,NA,NA,NA,NA,NA,NA,NA
1816,1,NA,NA,NA,NA,NA,NA,NA
1817,NA,NA,1,NA,NA,NA,NA,NA
1818,NA,NA,NA,NA,NA,NA,NA,NA
1819,NA,NA,NA,NA,NA,NA,NA,NA
1820,2,NA,1,NA,NA,NA,NA,NA
1821,NA,NA,NA,NA,NA,NA,NA,NA
1822,NA,NA,NA,NA,NA,NA,NA,NA
1823,NA,NA,NA,NA,NA,NA,NA,NA
1824,1,NA,NA,NA,NA,NA,NA,NA
1825,1,NA,NA,1,NA,NA,1,NA
1826,1,NA,NA,NA,NA,NA,NA,NA
1827,NA,NA,NA,NA,NA,NA,NA,NA
1828,NA,NA,NA,NA,NA,NA,NA,NA
1829,NA,NA,1,NA,NA,NA,NA,NA
1830,1,1,1,NA,NA,2,2,NA
1831,NA,NA,1,NA,NA,NA,NA,NA
1832,NA,NA,1,NA,NA,NA,NA,NA
1833,NA,NA,NA,NA,NA,NA,NA,NA
1834,1,NA,NA,NA,NA,NA,NA,NA
1835,NA,NA,NA,NA,NA,NA,1,NA
1836,1,NA,NA,NA,NA,NA,NA,NA
1837,NA,NA,NA,1,NA,NA,NA,NA
1838,NA,NA,NA,NA,NA,NA,1,NA
1839,NA,NA,NA,NA,NA,NA,NA,NA
1840,4,1,NA,1,NA,2,NA,NA
1841,NA,NA,NA,NA,NA,NA,NA,NA
1842,NA,NA,NA,2,NA,NA,NA,NA
1843,NA,NA,NA,NA,NA,NA,NA,NA
1844,2,NA,NA,NA,NA,NA,NA,NA
1845,1,NA,NA,NA,NA,NA,NA,NA
1846,NA,NA,NA,2,NA,NA,NA,NA
1847,NA,NA,NA,NA,NA,NA,NA,NA
1848,2,NA,NA,NA,NA,NA,NA,NA
1849,1,NA,NA,1,NA,NA,NA,NA
1850,7,2,2,3,1,3,3,21
1851,NA,NA,1,NA,NA,2,NA,NA
1852,1,NA,NA,NA,NA,NA,NA,NA
1853,NA,NA,NA,NA,NA,NA,NA,NA
1854,1,NA,NA,NA,NA,NA,NA,NA
1855,NA,NA,3,NA,NA,NA,NA,NA
1856,NA,NA,2,1,NA,NA,NA,NA
1857,1,NA,NA,1,NA,NA,1,NA
1858,NA,NA,1,NA,NA,NA,NA,NA
1859,NA,NA,NA,NA,NA,NA,NA,NA
1860,6,1,2,4,2,NA,1,NA
1861,NA,NA,NA,1,NA,1,1,NA
1862,5,NA,NA,NA,NA,NA,NA,NA
1863,NA,NA,NA,NA,NA,NA,NA,NA
1864,1,1,NA,1,NA,NA,NA,NA
1865,3,1,NA,NA,NA,NA,NA,NA
1866,1,NA,NA,NA,1,NA,NA,NA
1867,NA,NA,NA,NA,NA,1,NA,NA
1868,NA,1,NA,NA,NA,NA,NA,NA
1869,1,1,NA,NA,NA,NA,NA,NA
1870,7,NA,NA,3,NA,NA,2,NA
1871,1,NA,NA,5,NA,NA,NA,NA
1872,2,NA,1,1,NA,NA,NA,NA
1873,1,1,1,NA,NA,NA,NA,NA
1874,2,1,1,NA,NA,1,NA,NA
1875,6,NA,NA,1,NA,2,NA,NA
1876,1,NA,NA,2,NA,NA,NA,NA
1877,4,NA,NA,NA,NA,NA,NA,NA
1878,1,NA,NA,NA,NA,NA,1,NA
1879,2,NA,NA,2,NA,NA,NA,NA
1880,19,7,2,13,NA,2,NA,NA
1881,NA,NA,NA,NA,NA,2,NA,NA
1882,2,1,NA,NA,NA,NA,NA,NA
1883,2,NA,1,NA,1,NA,NA,NA
1884,NA,1,2,NA,NA,1,NA,NA
1885,15,NA,1,2,1,NA,NA,NA
1886,3,NA,NA,NA,NA,1,NA,NA
1887,15,NA,2,1,NA,1,NA,NA
1888,1,NA,1,4,NA,NA,NA,NA
1889,1,1,NA,1,NA,3,NA,NA
1890,32,7,1,7,2,5,NA,NA
1891,5,NA,NA,1,1,1,NA,NA
1892,3,NA,1,3,2,1,NA,NA
1893,2,NA,NA,2,1,1,NA,NA
1894,1,1,NA,1,NA,2,NA,NA
1895,5,NA,1,3,NA,2,NA,NA
1896,5,NA,4,1,1,1,NA,NA
1897,4,NA,1,NA,NA,1,NA,NA
1898,4,2,1,1,NA,2,1,NA
1899,NA,1,1,2,NA,NA,NA,NA
1900,693,28,3,38,121,7,NA,NA
1901,5,1,128,NA,8,161,271,NA
1902,19,1,14,1,2,3,1,41
1903,4,1,8,1,5,6,NA,NA
1904,12,1,1,1,3,3,NA,NA
1905,17,2,21,2,4,5,6,57
1906,11,NA,4,1,1,8,2,NA
1907,7,NA,13,3,3,5,1,NA
1908,11,NA,7,4,2,8,NA,NA
1909,3,1,5,NA,1,3,3,NA
1910,90,19,446,25,43,33,24,680
1911,13,2,NA,4,2,3,1,NA
1912,34,2,19,4,3,8,2,72
1913,16,5,7,2,3,6,2,41
1914,10,3,5,31,4,7,NA,NA
1915,39,6,11,5,9,13,3,86
1916,14,2,2,2,1,6,NA,NA
1917,11,1,14,8,NA,4,7,NA
1918,14,4,15,4,3,6,3,49
1919,12,3,8,1,1,9,3,37
1920,230,93,94,23,73,133,92,738
1921,15,5,12,4,2,4,2,44
1922,29,1,20,NA,4,3,2,NA
1923,12,13,11,5,3,9,2,55
1924,28,11,7,5,2,6,2,61
1925,49,31,36,8,14,19,9,166
1926,21,10,17,1,4,3,NA,NA
1927,28,10,31,5,3,9,4,90
1928,28,11,26,18,9,12,9,113
1929,17,5,15,8,4,2,4,55
1930,286,76,154,27,110,95,74,822
1931,14,6,9,5,6,6,2,48
1932,24,11,31,5,9,10,6,96
1933,10,15,20,6,9,11,2,73
1934,17,17,14,8,8,11,4,79
1935,120,42,121,18,62,30,15,408
1936,35,20,25,10,11,26,7,134
1937,51,6,27,7,12,25,47,175
1938,36,24,39,15,20,25,14,173
1939,23,13,29,13,7,16,12,113
1940,441,157,431,38,146,248,151,1612
1941,35,14,42,10,3,50,47,201
1942,30,36,123,16,9,159,17,390
1943,19,27,59,7,5,282,3,402
1944,20,43,55,13,11,26,21,189
1945,208,92,324,32,66,105,75,902
1946,98,51,117,25,19,94,19,423
1947,91,31,130,38,15,60,59,424
1948,115,90,115,35,33,108,51,547
1949,52,46,56,27,8,49,44,282
1950,473,327,655,56,162,369,200,2242
1951,70,29,61,22,17,77,22,298
1952,142,65,142,47,29,182,25,632
1953,76,68,70,36,15,381,26,672
1954,89,110,112,45,57,271,28,712
1955,244,174,315,34,178,181,49,1175
1956,135,95,122,24,47,434,47,904
1957,125,85,102,34,31,217,46,640
1958,109,134,157,25,69,360,33,887
1959,117,125,99,32,32,597,57,1059
1960,241,537,698,66,233,544,126,2445
1961,166,121,117,33,20,509,59,1025
1962,206,258,186,34,48,492,58,1282
1963,163,191,92,35,27,551,53,1112
1964,206,271,177,34,65,459,85,1297
1965,306,424,318,42,187,437,128,1842
1966,159,247,99,31,74,229,70,909
1967,184,239,120,42,98,261,43,987
1968,201,447,260,37,180,474,40,1639
1969,164,310,191,54,119,211,49,1098
1970,145,640,226,111,293,444,96,1955
1971,318,353,189,96,137,449,69,1611
1972,301,522,396,96,353,556,83,2307
1973,324,516,210,82,317,578,73,2100
1974,101,440,340,116,316,478,91,1882
1975,292,327,277,118,310,489,87,1900
1976,163,358,280,116,455,513,39,1924
1977,300,563,418,171,521,581,84,2638
1978,257,522,467,176,729,582,93,2826
1979,207,531,456,134,587,454,82,2451
1980,196,483,424,104,558,375,36,2176
1981,161,519,320,105,527,286,61,1979
1982,118,550,430,84,452,472,56,2162
1983,116,910,479,122,631,626,37,2921
1984,169,798,597,165,1059,693,46,3527
1985,159,835,574,238,857,657,61,3381
1986,181,732,606,332,781,760,49,3441
1987,213,647,608,387,1012,694,53,3614
1988,156,640,355,269,999,466,49,2934
1989,147,596,455,304,633,385,41,2561
1990,143,571,366,230,514,406,37,2267
1991,115,518,381,190,343,410,43,2000
1992,131,663,408,320,422,526,33,2503
1993,101,608,445,307,504,558,50,2573
1994,140,821,567,422,549,653,57,3209
1995,164,728,544,413,494,529,72,2944
1996,156,877,576,379,477,578,42,3085
1997,169,1138,534,453,527,660,53,3534
1998,197,1162,632,413,650,664,66,3784
1999,208,1153,532,298,809,702,41,3743
2000,185,1293,432,414,792,627,70,3813
2001,171,1150,473,469,875,663,40,3841
2002,174,1367,521,514,896,769,40,4281
2003,146,1741,438,564,827,805,25,4546
2004,159,2094,733,667,873,1249,49,5824
2005,175,3011,938,522,676,1349,33,6704
2006,194,2870,699,349,372,1419,31,5934
2007,211,1712,412,226,291,1384,44,4280
2008,163,1140,305,141,197,1107,28,3081
2009,112,711,165,121,141,1199,17,2466
2010,89,842,235,148,135,1829,16,3294
2011,87,778,238,136,154,1675,16,3084
2012,92,872,251,193,192,1778,14,3392
2013,62,1264,260,231,218,1313,13,3361
2014,57,1413,244,244,218,788,11,2975
2015,75,1791,314,275,279,749,6,3489
2016,77,1768,284,279,303,719,15,3445
2017,106,2186,372,297,263,782,9,4015
2018,93,2129,308,420,297,833,7,4087
2019,97,2289,375,395,229,1060,14,4459
2020,96,2365,390,470,272,1129,11,4733
2021,132,2982,625,537,320,1167,12,5775
2022,148,3665,539,286,315,1156,12,6121
2023,29,2888,23,262,26,NA,NA,NA
