"","Year","Total","Species","NumNests"
"1","1977",35486,"White Ibis",1939
"2","1983",60014,"White Ibis",3825
"3","1988",50661,"White Ibis",6332
"4","1993",66850,"White Ibis",10455
"5","1995",67719,"White Ibis",9571
"6","1997",50766,"White Ibis",9446
"7","1999",58091,"White Ibis",8711
"8","2001",78250,"White Ibis",17043
"9","2004",62680,"White Ibis",14392
"10","2007",64961,"White Ibis",16962
"11","2011",71702,"White Ibis",11178
"12","2014",67952,"White Ibis",12454
"13","2017",51602,"White Ibis",13019
"14","2020",59118,"White Ibis",8262
"15","14-year mean",60414,"White Ibis",10256
"16","1977",35486,"Glossy Ibis",404
"17","1983",60014,"Glossy Ibis",291
"18","1988",50661,"Glossy Ibis",84
"19","1993",66850,"Glossy Ibis",526
"20","1995",67719,"Glossy Ibis",279
"21","1997",50766,"Glossy Ibis",482
"22","1999",58091,"Glossy Ibis",229
"23","2001",78250,"Glossy Ibis",600
"24","2004",62680,"Glossy Ibis",377
"25","2007",64961,"Glossy Ibis",356
"26","2011",71702,"Glossy Ibis",263
"27","2014",67952,"Glossy Ibis",394
"28","2017",51602,"Glossy Ibis",121
"29","2020",59118,"Glossy Ibis",113
"30","14-year mean",60414,"Glossy Ibis",323
"31","1977",35486,"Brown Pelican",82
"32","1983",60014,"Brown Pelican",1586
"33","1988",50661,"Brown Pelican",2637
"34","1993",66850,"Brown Pelican",3327
"35","1995",67719,"Brown Pelican",3290
"36","1997",50766,"Brown Pelican",4145
"37","1999",58091,"Brown Pelican",4350
"38","2001",78250,"Brown Pelican",4137
"39","2004",62680,"Brown Pelican",5173
"40","2007",64961,"Brown Pelican",3452
"41","2011",71702,"Brown Pelican",5150
"42","2014",67952,"Brown Pelican",4400
"43","2017",51602,"Brown Pelican",5455
"44","2020",59118,"Brown Pelican",5049
"45","14-year mean",60414,"Brown Pelican",3731
"46","1977",35486,"Green Heron",42
"47","1983",60014,"Green Heron",24
"48","1988",50661,"Green Heron",64
"49","1993",66850,"Green Heron",8
"50","1995",67719,"Green Heron",8
"51","1997",50766,"Green Heron",4
"52","1999",58091,"Green Heron",15
"53","2001",78250,"Green Heron",30
"54","2004",62680,"Green Heron",47
"55","2007",64961,"Green Heron",117
"56","2011",71702,"Green Heron",2
"57","2014",67952,"Green Heron",13
"58","2017",51602,"Green Heron",27
"59","2020",59118,"Green Heron",6
"60","14-year mean",60414,"Green Heron",29
"61","1977",35486,"Black-crowned Night Heron",237
"62","1983",60014,"Black-crowned Night Heron",269
"63","1988",50661,"Black-crowned Night Heron",207
"64","1993",66850,"Black-crowned Night Heron",251
