"","year","season","meantemp","sdtemp","meansal","sdsal","meanDO","sdDO","meanpH","sdpH","samplesize"
"1",2008,"fall",16.6,4.88364617882991,17.7,6.88131528125256,7.41111111111111,1.07638799283117,NA,NA,9
"2",2008,"spring",26.675,3.57920581773587,20.9,7.14162846575325,6.1375,0.474906005737677,NA,NA,8
"3",2008,"summer",29.1,1.66296558757376,21.3,7.72398860693101,5.66666666666667,0.862694861606596,NA,NA,12
"4",2009,"fall",18.86,3.67520218642609,14.86,7.21020881189381,7.37,1.1700427342623,NA,NA,10
"5",2009,"spring",24.3357142857143,4.11388028374806,14.05,5.80394428219028,6.20714285714286,0.822252334200944,NA,NA,14
"6",2009,"summer",28.425,2.18429310387511,18.85,5.94160982164996,5.59166666666667,0.697343443926935,NA,NA,12
"7",2009,"winter",10.8,NA,9.95,NA,9.25,NA,NA,NA,6
"8",2010,"fall",16.34,6.26209052775331,14.35,7.03155585754517,7.93,1.69381226822809,NA,NA,10
"9",2010,"spring",25.3583333333333,3.54669073243145,15.7166666666667,9.94501550191518,7.675,1.81164164628258,NA,NA,12
"10",2010,"summer",30.3909090909091,1.38235635452986,26.7363636363636,3.21753717220881,7.34545454545455,1.26677830449028,NA,NA,11
"11",2010,"winter",10.9666666666667,5.55937646383717,10.4,8.86385920465798,10.9833333333333,2.47015519080617,NA,NA,6
"12",2011,"fall",18.14,3.36326560883252,19.98,5.03229569878401,7.93,1.00559545654414,NA,NA,10
"13",2011,"spring",24.1083333333333,4.60779149096858,20.4083333333333,8.73055848815822,7.78333333333333,1.45028732785381,NA,NA,12
"14",2011,"summer",29.2,1.2277103596829,24.0833333333333,6.01087398475513,6.91666666666667,0.840814900539766,NA,NA,12
"15",2011,"winter",12.65,2.346699810372,16.9166666666667,10.0312345534668,9.65,0.993478736561583,NA,NA,6
"16",2012,"fall",19.01,4.75755539466787,19.06,4.9953756393066,6.75,1.27388295293476,NA,NA,10
"17",2012,"spring",24.025,3.54993597893616,19.8666666666667,5.37829532529226,7.88333333333333,1.15036226178249,NA,NA,12
"18",2012,"summer",29.5272727272727,2.37027041035022,11.0090909090909,4.67684820054159,6.26363636363636,1.27849343156133,NA,NA,11
"19",2012,"winter",15.9,4.66776177626922,14.3166666666667,5.72692471285128,8.86666666666667,1.23558353285671,NA,NA,6
"20",2013,"fall",17.4222222222222,5.53529081841636,21.0777777777778,4.24434263984948,8.03333333333333,1.5305227865014,NA,NA,9
"21",2013,"spring",22.6818181818182,4.41425377200228,7.85454545454545,4.23942534699307,7.32727272727273,1.17140164682393,NA,NA,11
"22",2013,"summer",28.375,1.17405668130167,8.79166666666667,8.00766205050835,5.93333333333333,1.58075547722849,NA,NA,12
"23",2013,"winter",12.58,2.63001901133813,10.36,7.16156407497692,9.88,0.238746727726266,NA,NA,5
"24",2014,"fall",18.34,3.97860947233243,19.26,4.06480831856395,7.51,1.98127344009969,NA,NA,10
"25",2014,"spring",23.1333333333333,4.69667838783835,10.45,7.44195722056552,7.45833333333333,1.20034717200206,NA,NA,12
"26",2014,"summer",27.425,1.49369888653516,11.725,8.96590765065088,5.25833333333333,1.05093753238225,NA,NA,12
"27",2014,"winter",10.0166666666667,1.76795550471913,3.83333333333333,3.50922593554001,11.05,0.973139250056229,NA,NA,6
"28",2015,"fall",18.01,3.44559299847082,5.48,6.61073201527469,8.73,1.11260455189114,NA,NA,10
"29",2015,"spring",24.1333333333333,3.68617400401538,9.29166666666667,6.06936545033309,6.44166666666667,1.30206712111119,NA,NA,12
"30",2015,"summer",29.3083333333333,1.45880295468787,17.2416666666667,4.76854434303752,6.59166666666667,1.16342623576255,NA,NA,12
"31",2015,"winter",10.5833333333333,3.04198400171116,3.4,3.37757309321353,8.05,0.717635004720366,NA,NA,6
"32",2016,"fall",17.72,2.98767840006622,10.84,7.47859166777632,7.28888888888889,NA,7.675,NA,10
"33",2016,"spring",23.8833333333333,4.17194816784096,12.2833333333333,5.55547777723333,8.825,1.44984325171567,NA,NA,12
"34",2016,"summer",29.5,2.50479540082618,11.4636363636364,7.11930793367905,7.92727272727273,2.66010936207176,7.075,NA,11
"35",2016,"winter",13.7,4.28392343535689,4.48333333333333,6.47994341539081,9.81666666666667,1.41055544615115,NA,NA,6
"36",2017,"fall",18.3666666666667,5.88175143983491,20.6777777777778,4.56776142595522,7.42222222222222,1.47459975737298,7.66666666666667,0.264575131106459,9
"37",2017,"spring",24.2583333333333,3.12481514604779,10.0583333333333,5.19570772733405,7.80833333333333,0.942393792745931,7.89166666666667,0.490747728811182,12
"38",2017,"summer",28.89,NA,15.05,NA,6.39,NA,7.5,0.214476105895272,11
"39",2017,"winter",14.8166666666667,2.9301308275684,14.9,4.47168871904116,11.05,1.01734949746879,7.66666666666667,0.206559111797729,6
"40",2018,"fall",17.28,4.9036947521458,8.97,7.65898890919102,8.76,1.34676567292821,8.19,0.264365067451978,10
"41",2018,"spring",23.4416666666667,5.28608092211532,9.46666666666667,6.8978696755307,7.25,1.36081526366299,7.68,NA,12
