"","year","season","meantemp","sdtemp","meansal","sdsal","meanDO","sdDO","meanpH","sdpH","samplesize"
"1",2008,"fall",17.27,5.25297910463046,21.87,4.04697417832138,8.005,1.15689011441973,NA,NA,20
"2",2008,"spring",27.6625,2.61097044538361,17.1375,6.71613728269457,7.2625,0.706045324324154,NA,NA,16
"3",2008,"summer",30.15,2.41228473590056,22.0444444444444,4.93275036301158,6.27777777777778,1.26330824125322,NA,NA,18
"4",2009,"fall",17.37,3.32409069481692,12.525,5.77570911572542,9.245,1.68537829581373,NA,NA,20
"5",2009,"spring",24.765,4.02691928741667,18.775,5.54720176020496,6.405,0.885838882820002,NA,NA,20
"6",2009,"summer",28.8166666666667,2.44089553535024,16.3333333333333,6.6477630540798,6.625,1.0592244907191,NA,NA,24
"7",2009,"winter",14.475,3.54121833169423,18.0916666666667,7.03451986257553,8.44166666666667,1.32833342838675,NA,NA,12
"8",2010,"fall",16.785,6.45953192047063,15.935,8.29472089565659,8.8,1.49806893243128,NA,NA,20
"9",2010,"spring",26.1272727272727,NA,23.3772727272727,NA,7.14090909090909,NA,NA,NA,24
"10",2010,"summer",29.3333333333333,2.50541442665188,24.1333333333333,5.90848076306729,6.675,1.14103309405956,NA,NA,24
"11",2010,"winter",12.9333333333333,2.52562623497379,9.775,4.61895796985345,11.2833333333333,1.93899380341892,NA,NA,12
"12",2011,"fall",17.285,3.78045875801504,21.88,4.12407565401024,8.71,0.850943748527419,NA,NA,20
"13",2011,"spring",26.3541666666667,3.28858092385661,22.3333333333333,7.61969226051338,7.59583333333333,1.23692436472808,NA,NA,24
"14",2011,"summer",29.5125,2.43583973557197,25.225,6.94439091766811,7.29166666666667,1.29376990987971,NA,NA,24
"15",2011,"winter",16.0333333333333,2.61892876550468,14.2,5.84294446319662,9.43333333333333,0.695875293599668,NA,NA,12
"16",2012,"fall",16.55,4.57780687551077,19.455,5.26282643693131,8.905,1.90580139242483,NA,NA,20
"17",2012,"spring",25.2375,3.98516951796991,21.4791666666667,4.88457903189626,7.875,0.710939366337732,NA,NA,24
"18",2012,"summer",29.0208333333333,2.29024000387783,17.575,6.93562009390339,5.95416666666667,1.64554184723892,NA,NA,24
"19",2012,"winter",18.6545454545455,4.45653758794058,22.2181818181818,5.12070662737443,7.75454545454545,1.51615542499022,NA,NA,11
"20",2013,"fall",17.14,3.67156929018527,23.075,3.2392128673491,8.705,0.831912824380308,NA,NA,20
"21",2013,"spring",25.3708333333333,3.34865049608458,18.0333333333333,3.64413366178129,6.82916666666667,0.775986982559275,NA,NA,24
"22",2013,"summer",28.1090909090909,NA,18.7363636363636,NA,6.45454545454546,NA,NA,NA,24
"23",2013,"winter",13.05,1.50121163186153,15.4,6.08141729892271,9.91666666666667,2.79311925121631,NA,NA,12
"24",2014,"fall",16.83,5.39913248392252,19.045,4.79160175394628,9.31666666666667,NA,NA,NA,20
"25",2014,"spring",25.8958333333333,4.70960897173711,14.875,5.24389914671035,8.22916666666667,1.25610826404992,NA,NA,24
"26",2014,"summer",28.5666666666667,2.84233013207652,15.9208333333333,4.23997325326538,7.825,1.41644073219676,NA,NA,24
"27",2014,"winter",12.7833333333333,1.51527575248224,15.125,4.96700476782903,11.4666666666667,1.63670030206751,NA,NA,12
"28",2015,"fall",18.205,3.57777864044158,8.585,1.78333661255642,10.15625,NA,NA,NA,20
"29",2015,"spring",26.7958333333333,5.19669453190882,12.9583333333333,3.29095158257313,6.15416666666667,1.19089997633017,NA,NA,24
"30",2015,"summer",29.7458333333333,1.91197124925325,16.6833333333333,5.10146327402559,7.1375,1.33540825869518,NA,NA,24
"31",2015,"winter",9.60833333333333,5.38389151811103,9.39166666666667,5.22571584193076,10.3916666666667,1.96026822530783,NA,NA,12
"32",2016,"fall",17.85,5.05532548798529,12.27,5.88665752716304,10.17,1.56847227044596,8.205,0.301705677423335,20
"33",2016,"spring",24.7625,3.84060825119283,15.2958333333333,4.13473927117294,9,0.911281944630034,NA,NA,24
"34",2016,"summer",30.2666666666667,1.89224197980727,15.9625,6.45417374228895,8.00833333333333,1.25209968580317,7.95,NA,24
"35",2016,"winter",15.1333333333333,1.68594906282018,8.14166666666667,6.53430921901443,9.95,0.777525211517578,NA,NA,12
"36",2017,"fall",17.275,4.70731513598502,18.985,4.19940785299421,8.77,1.05635918931115,7.75263157894737,NA,20
"37",2017,"spring",26.325,3.19799529596957,14.3791666666667,5.23989538284768,9.05833333333333,1.66208791340412,8.21666666666667,0.268112025039935,24
"38",2017,"summer",29.1625,2.02544949385906,14.6166666666667,4.74320261157931,7.15,1.44191901117317,7.85416666666667,0.346384012416813,24
"39",2017,"winter",15.5916666666667,1.39834859311932,14.9083333333333,5.04911483391501,11.95,1.47309198626562,7.6,0.159544807043493,12
"40",2018,"fall",17.8368421052632,5.62871709542689,12.7,6.50606554600312,9.63684210526316,1.67006670735559,8.22631578947368,0.11945294407403,19
"41",2018,"spring",24.075,5.81775767352217,11.0875,5.69739166102616,8.39166666666667,1.15604899349566,7.97058823529412,NA,24
"42",2018,"summer",30.36,1.58193751955931,10.555,8.59531543158371,6.82,1.41555270961,8.04210526315789,NA,20
"43",2018,"winter",13.2833333333333,3.16596483450675,18.3666666666667,8.26738755410057,10.3916666666667,1.97090580621442,8.50833333333333,0.350216383328243,12
"44",2019,"fall",18.06,5.80502504641226,22.21,5.23247953701332,8.27058823529412,NA,NA,NA,20
"45",2019,"spring",25.7958333333333,4.37199379118325,19.1083333333333,7.48691128434885,8.31818181818182,NA,7.69166666666667,0.274917642476665,24
"46",2019,"summer",30.3041666666667,2.04779397033186,17.8791666666667,9.11682530397443,7.44583333333333,2.09076211747871,7.37142857142857,NA,24
"47",2019,"winter",13.2166666666667,2.13874786364415,14.625,6.47051002626532,10.7166666666667,2.34630592957345,7.7,0.141421356237309,12
"48",2020,"winter",13.9,0.565685424949239,8.6,5.65685424949238,10.1,0.848528137423857,NA,NA,2
"49",2021,"fall",18.39,4.610388726618,24.34,3.36896048312267,8.665,1.02406568457096,8.385,0.169441808051583,20
"50",2021,"summer",29.6857142857143,2.00954863446638,19.0904761904762,7.15254533448791,6.99047619047619,1.08669441974493,7.68947368421053,NA,21
