Year,Type of License,Resident of NC ,Nonresident ,Military stationed in NC,Student at NC school ,Year Total
2007,10 Day CRFL - Nonresident,2175,128757,154,18,131104
2007,10 Day CRFL - Resident,39478,333,423,21,40255
2007,Annual CRFL - Nonresident,1664,22090,31,8,23793
2007,Annual CRFL - Resident,175732,1327,2794,70,179923
2007,Annual Inland Fishing/CRFL - Subsistance Waiver,5941,7,2,2,5952
2007,Annual Unified Inland Fishing/CRFL,19987,173,404,8,20572
2007,Annual Unified Sportsman with CRFL,23837,200,269,4,24310
2007,Lifetime CRFL - Adult NC Resident,947,5,,,952
2007,Lifetime CRFL - Adult Nonresident,4,30,,,34
2007,Lifetime CRFL - Age 65,20724,41,3,,20768
2007,Lifetime CRFL - Disabled Veteran,682,2,3,,687
2007,Lifetime CRFL - Infant,126,7,,,133
2007,Lifetime CRFL - Totally Disabled,1324,2,,,1326
2007,Lifetime CRFL - Youth,79,8,,,87
2007,Lifetime Comprehensive Inland Fishing with CRFL - Over 70,1,,,,1
2007,Lifetime Unified Inland Fishing/CRFL,528,,,,528
2007,Lifetime Unified Inland Fishing/CRFL - Adult Care Home,844,,,,844
2007,Lifetime Unified Inland Fishing/CRFL - Blind,158,,,,158
2007,Lifetime Unified Sportsman with CRFL - Adult Nonresident,,20,,,20
2007,Lifetime Unified Sportsman with CRFL - Adult Resident,1092,22,2,,1116
2007,Lifetime Unified Sportsman with CRFL - Age 65,12877,19,2,,12898
2007,Lifetime Unified Sportsman with CRFL - Disabled Veteran,356,7,2,,365
2007,Lifetime Unified Sportsman with CRFL - Infant,2763,65,,1,2829
2007,Lifetime Unified Sportsman with CRFL - Totally Disabled,419,3,,,422
2007,Lifetime Unified Sportsman with CRFL - Youth,432,10,1,1,444
2007,Year Total,312170,153128,4090,133,469521
2008,10 Day CRFL - Nonresident,1797,123592,163,12,125564
2008,10 Day CRFL - Resident,38277,335,473,25,39110
2008,Annual CRFL - Nonresident,1245,17936,27,14,19222
2008,Annual CRFL - Resident,139638,983,3134,55,143810
2008,Annual Inland Fishing/CRFL - Subsistance Waiver,7900,4,,,7904
2008,Annual Unified Inland Fishing/CRFL,22081,178,446,5,22710
2008,Annual Unified Sportsman with CRFL,31782,197,437,4,32420
2008,Lifetime CRFL - Adult NC Resident,291,,,,291
2008,Lifetime CRFL - Adult Nonresident,1,17,,,18
2008,Lifetime CRFL - Age 65,8255,21,3,1,8280
2008,Lifetime CRFL - Disabled Veteran,430,2,1,,433
2008,Lifetime CRFL - Infant,46,3,,,49
2008,Lifetime CRFL - Totally Disabled,847,2,,,849
2008,Lifetime CRFL - Youth,43,5,,,48
2008,Lifetime Unified Inland Fishing/CRFL,231,1,,,232
2008,Lifetime Unified Inland Fishing/CRFL - Adult Care Home,486,,,,486
2008,Lifetime Unified Inland Fishing/CRFL - Blind,144,,,,144
2008,Lifetime Unified Sportsman with CRFL - Adult Nonresident,2,13,,,15
2008,Lifetime Unified Sportsman with CRFL - Adult Resident,610,10,4,,624
2008,Lifetime Unified Sportsman with CRFL - Age 65,5820,18,1,,5839
2008,Lifetime Unified Sportsman with CRFL - Disabled Veteran,300,3,6,,309
2008,Lifetime Unified Sportsman with CRFL - Infant,2687,42,,,2729
2008,Lifetime Unified Sportsman with CRFL - Totally Disabled,459,1,,,460
2008,Lifetime Unified Sportsman with CRFL - Youth,329,3,1,1,334
2008,Year Total,263701,143366,4696,117,411880
2009,10 Day CRFL - Nonresident,1728,130290,159,16,132193
2009,10 Day CRFL - Resident,44731,333,636,24,45724
2009,Annual CRFL - Nonresident,1166,18192,30,10,19398
2009,Annual CRFL - Resident,137828,760,3921,59,142568
2009,Annual Inland Fishing/CRFL - Subsistance Waiver,15501,7,1,1,15510
2009,Annual Unified Inland Fishing/CRFL,22344,155,437,5,22941
2009,Annual Unified Sportsman with CRFL,35725,188,547,3,36463
2009,Lifetime CRFL - Adult NC Resident,219,2,1,,222
2009,Lifetime CRFL - Adult Nonresident,,8,,,8
2009,Lifetime CRFL - Age 65,7557,11,4,,7572
2009,Lifetime CRFL - Disabled Veteran,665,4,6,,675
2009,Lifetime CRFL - Infant,55,5,,,60
2009,Lifetime CRFL - Totally Disabled,902,2,1,,905
2009,Lifetime CRFL - Youth,53,3,,,56
2009,Lifetime Unified Inland Fishing/CRFL,187,2,,,189
2009,Lifetime Unified Inland Fishing/CRFL - Adult Care Home,579,,,,579
2009,Lifetime Unified Inland Fishing/CRFL - Blind,135,,,,135
2009,Lifetime Unified Sportsman with CRFL - Adult Nonresident,2,7,,,9
2009,Lifetime Unified Sportsman with CRFL - Adult Resident,524,7,1,,532
2009,Lifetime Unified Sportsman with CRFL - Age 65,5278,11,1,,5290
2009,Lifetime Unified Sportsman with CRFL - Disabled Veteran,451,4,4,,459
2009,Lifetime Unified Sportsman with CRFL - Infant,2662,74,,,2736
2009,Lifetime Unified Sportsman with CRFL - Totally Disabled,488,3,1,,492
2009,Lifetime Unified Sportsman with CRFL - Youth,352,17,1,,370
2009,Year Total,279132,150085,5751,118,435086
2010,10 Day CRFL - Nonresident,1504,135377,163,21,137065
2010,10 Day CRFL - Resident,46509,324,755,31,47619
2010,Annual CRFL - Nonresident,1077,19131,36,10,20254
2010,Annual CRFL - Resident,136173,658,4565,78,141474
2010,Annual Inland Fishing/CRFL - Subsistance Waiver,22198,7,,,22205
2010,Annual Unified Inland Fishing/CRFL,25611,134,734,12,26491
2010,Annual Unified Sportsman with CRFL,38685,175,661,6,39527
2010,Lifetime CRFL - Adult NC Resident,243,1,1,,245
2010,Lifetime CRFL - Adult Nonresident,,16,1,,17
2010,Lifetime CRFL - Age 65,6647,8,3,,6658
2010,Lifetime CRFL - Disabled Veteran,598,4,8,,610
2010,Lifetime CRFL - Infant,45,2,,,47
2010,Lifetime CRFL - Totally Disabled,765,2,,,767
2010,Lifetime CRFL - Youth,54,6,,,60
2010,Lifetime Unified Inland Fishing/CRFL,209,,,,209
2010,Lifetime Unified Inland Fishing/CRFL - Adult Care Home,428,,,,428
2010,Lifetime Unified Inland Fishing/CRFL - Blind,155,,,,155
2010,Lifetime Unified Sportsman with CRFL - Adult Nonresident,1,8,,,9
2010,Lifetime Unified Sportsman with CRFL - Adult Resident,515,4,1,,520
2010,Lifetime Unified Sportsman with CRFL - Age 65,5156,10,,,5166
2010,Lifetime Unified Sportsman with CRFL - Disabled Veteran,459,2,10,,471
2010,Lifetime Unified Sportsman with CRFL - Infant,2687,71,,,2758
2010,Lifetime Unified Sportsman with CRFL - Totally Disabled,404,1,1,,406
2010,Lifetime Unified Sportsman with CRFL - Youth,351,5,,,356
2010,Year Total,290474,155946,6939,158,453517
2011,10 Day CRFL - Nonresident,1156,128703,146,21,130026
2011,10 Day CRFL - Resident,44399,201,807,60,45467
2011,Annual CRFL - Nonresident,843,18391,30,6,19270
2011,Annual CRFL - Resident,125885,411,4374,71,130741
2011,Annual Inland Fishing/CRFL - Subsistance Waiver,28418,6,4,2,28430
